"CoC Number","CoC Name","Total Homeless, 2013","Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
"MA-509","Cambridge CoC","535.0","466.0","69.0","366.0","297.0","69.0","169.0","169.0","0.0","174.0","120.0","54.0","167.0","113.0","54.0","7.0","7.0","0.0","21.0","16.0","5.0"
"MA-510","Gloucester/Haverhill/Salem/Essex County CoC","1286.0","1250.0","36.0","250.0","214.0","36.0","1036.0","1036.0","0.0","146.0","127.0","19.0","113.0","94.0","19.0","33.0","33.0","0.0","15.0","13.0","2.0"
"MA-511","Quincy/Brockton/Weymouth/Plymouth City and County CoC","1690.0","1641.0","49.0","458.0","409.0","49.0","1232.0","1232.0","0.0","171.0","153.0","18.0","134.0","116.0","18.0","37.0","37.0","0.0","94.0","94.0","0.0"
"MA-515","Fall River CoC","235.0","220.0","15.0","113.0","102.0","11.0","122.0","118.0","4.0","37.0","33.0","4.0","35.0","31.0","4.0","2.0","2.0","0.0","2.0","2.0","0.0"
"MA-516","Massachusetts Balance of State","2652.0","2595.0","57.0","424.0","367.0","57.0","2228.0","2228.0","0.0","179.0","143.0","36.0","119.0","83.0","36.0","60.0","60.0","0.0","63.0","56.0","7.0"
"MA-517","Somerville CoC","169.0","160.0","9.0","95.0","86.0","9.0","74.0","74.0","0.0","36.0","34.0","2.0","34.0","32.0","2.0","2.0","2.0","0.0","1.0","1.0","0.0"
"MA-519","Attleboro/Taunton/Bristol County CoC","251.0","221.0","30.0","69.0","46.0","23.0","182.0","175.0","7.0","10.0","1.0","9.0","10.0","1.0","9.0","0.0","0.0","0.0","2.0","1.0","1.0"
"MD-500","Cumberland/Allegany County CoC","76.0","64.0","12.0","34.0","22.0","12.0","42.0","42.0","0.0","8.0","2.0","6.0","4.0","1.0","3.0","4.0","1.0","3.0","4.0","4.0","0.0"
"MD-501","Baltimore City CoC","2638.0","2343.0","295.0","1988.0","1733.0","255.0","650.0","610.0","40.0","226.0","137.0","89.0","211.0","135.0","76.0","15.0","2.0","13.0","293.0","272.0","21.0"
"MD-502","Harford County CoC","166.0","158.0","8.0","66.0","58.0","8.0","100.0","100.0","0.0","38.0","30.0","8.0","38.0","30.0","8.0","0.0","0.0","0.0","5.0","5.0","0.0"
